product,market,platform,announce_or_version_date,event_name,start_date,end_date,event_type,core_or_event_action,reward_or_progression,monetization,social_layer,asset_requirement,reskin_reuse,evidence_type,source
Big Farm Homestead,US,iOS,2026-08-24,Fireworks Festival,TBD,TBD,ANNIVERSARY_EVENT,Anniversary event tasks,Exclusive anniversary decoration,TBD,Guild/community context,Themed event assets,Reusable event engine,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
Big Farm Homestead,US,iOS,2026-07-20,Vacation Vibes Festival,TBD,TBD,SEASON_FESTIVAL,Milestone festival progression,Exclusive rewards,Festival Pass,TBD,Themed pass assets,Reusable season engine,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
Big Farm Homestead,US,iOS,2026-07-20,Claire's Picnic,TBD,TBD,LIMITED_PRODUCTION_EVENT,Produce unique resources + serve guests,Event rewards,TBD,TBD,Event-specific production assets,Reusable production-event shell,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
Big Farm Homestead,US,iOS,2026-06-29,County Fair Collection,TBD,TBD,COLLECTION,Collect polaroids for scrapbook,Collection rewards,TBD,TBD,Collection art,Reusable collection engine,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
Big Farm Homestead,US,iOS,2026-06-15,Crab Control,TBD,TBD,LIMITED_CHALLENGE,Collect crabs + deliver to shelter,Event coins + rewards,TBD,TBD,Crab/event assets,Reusable challenge shell,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
Big Farm Homestead,US,iOS,2026-05-07,Heart of the Herd,2026-05-04,2026-05-11,SEARCH_CHALLENGE,Locate lost horses,Event rewards,TBD,TBD,Horse/event assets,Reusable search challenge,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
Big Farm Homestead,US,iOS,2026-05-07,Claire's Picnic,2026-05-11,2026-05-18,LIMITED_PRODUCTION_EVENT,Produce resources + serve guests,Event rewards,TBD,TBD,Event-specific production assets,Reusable production-event shell,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
Big Farm Homestead,US,iOS,2026-03-26,Heart of the Herd,2026-04-02,2026-04-09,SEARCH_CHALLENGE,Locate lost horses,Event rewards,TBD,TBD,Horse/event assets,Reusable search challenge,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
Big Farm Homestead,US,iOS,2026-03-26,Dino Drama,2026-04-06,2026-04-20,COLLECTION_DIG_EVENT,Complete barge/train orders + earn pickaxes + dig fossils,Unique themed reward,TBD,TBD,Dino/fossil assets,Reusable dig/collection engine,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
The Cozy Florist,US,iOS,2026-09-11,New content and events,TBD,TBD,UNSPECIFIED_EVENT,TBD,TBD,TBD,Garden social likely but not specified,TBD,TBD,OBSERVED_LOW_SPECIFICITY,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
Office Cat,US,iOS,2026-08-20,City 7 Halloween,TBD,TBD,NEW_AREA_THEME,Unlock/play new city,City progression,Payment Challenge observed,TBD,New city assets,New area + seasonal theme,OBSERVED,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010
Office Cat,US,iOS,2026-07-13,Cat Day Event,2026-08-06,2026-08-12,LIMITED_EVENT,Event participation + daily rankings,Costumes + plants,TBD,Daily rankings,Event costumes/plants,Reusable event/ranking engine,OBSERVED,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010
Office Cat,US,iOS,2026-04-23,2nd Anniversary Event,2026-05-02,2026-05-08,ANNIVERSARY_EVENT,Party games + collect Anniversary Coins,Exchange Shop rewards,TBD,TBD,Anniversary assets,Reusable currency/shop wrapper,OBSERVED,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010
Office Cat,US,iOS,2026-03-17,Easter Event,2026-04-02,TBD,HOLIDAY_EVENT,Event participation,Special rewards,TBD,TBD,Easter assets,Reusable holiday wrapper,OBSERVED,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010
Office Cat,US,iOS,2026-02-11,Valentine Event,2026-02-12,TBD,HOLIDAY_EVENT,Event participation,Special rewards,TBD,TBD,Valentine assets,Reusable holiday wrapper,OBSERVED,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010
