Game,Market,Actual_Event_Title,Event_Family,Start,End,Core_Meta_Side,Core_Mechanic,Monetization,Social_CRM,Reuse_Engine,Primary_KPI,Evidence_Status,Source,Gap
Township,US,Harvest Collection,Collection/Social Trade,2026-09-15,2026-10-13,Meta/LiveOps,"Cards from quests/challenges/expeditions","Boosters/rewards","Trade with friends/alliance","Collection wrapper",Collection Completion/Trades,SOURCE CURRENT STORE EVENT,https://socialpeta.com/en/google-play/com.playrix.township,Revenue impact TBD
Township,US,Frozen Fortune,Co-op Adventure,2026-09-18,2026-09-27,Side/Social,"Ship upgrades + match-3 + town orders","Event tokens/rewards","Co-op","Co-op wrapper",Participation/Completion,SOURCE CURRENT STORE EVENT,https://socialpeta.com/en/google-play/com.playrix.township,Support burden TBD
Hay Day,US,September Farm Pass,Season Pass,2026-09,2026-09,Meta/Monetization,"Tasks + pass progression","Farm Pass rewards","N/A","Pass engine",Pass Entry/Completion,FIRST-PARTY STORE,https://apps.apple.com/us/app/hay-day/id506627515,Conversion TBD
Hay Day,US,Whispering Woods,Challenge/Decor,2026-09-21,2026-09-26,Side/LiveOps,"Challenge → decor reward","Decoration rewards","N/A","Challenge engine",Entry/Completion,FIRST-PARTY STORE,https://apps.apple.com/us/app/hay-day/id506627515,Participation TBD
Hay Day,US,Ultra-rare Crop Growth,Resource Modifier,2026-09-07,2026-09-14,Core Modifier,"2x crop growth","Indirect economy value","N/A","Modifier engine",Return/Core Actions,SOURCE RECENT STORE EVENT,https://socialpeta.com/zh/google-play/com.supercell.hayday,Economy impact TBD
Hay Day,US,Boat Destinations,Delivery Expansion,2026-08-27,2026-09-03,Core/Meta,"Fill crates + destinations","Coins/XP/Nautical Miles","N/A","Delivery engine",Delivery/Progression,SOURCE RECENT STORE EVENT,https://socialpeta.com/zh/google-play/com.supercell.hayday,Participation TBD
Hay Day,US,14th Birthday Music Festival / Joe Jonas,Brand/Creator Event,2026-06-16,2026-06-30,Side/Brand,"Collect notes + decor + compose/share songs","Rewards/decor","Community/creator","Brand wrapper",Participation/Share/Return,SOURCE HISTORICAL 2026 STORE EVENT,https://socialpeta.com/zh/google-play/com.supercell.hayday,Incremental lift TBD
Hay Day,US,Deals Week,Offer/Sale,2026-05-01,2026-05-08,Monetization,"Discounted Diamond / Key offers","50%+ off selected offers","N/A","Offer engine",Offer CVR/Revenue,SOURCE HISTORICAL 2026 STORE EVENT,https://socialpeta.com/zh/google-play/com.supercell.hayday,Segment/frequency TBD
Big Farm Homestead,Global/US-relevant,Deepwoods Pass,Festival Pass,2026-09-14,2026-10-12,Meta/Monetization,"4-week Festival progression","Pass rewards","Social theme vote","Festival engine",Entry/Pass Completion,FIRST-PARTY START + COMMUNITY END,https://blog.ggs-bf2.com/web/en.html,Price/conversion TBD
Big Farm Homestead,Global/US-relevant,County Fair Tournament,Tournament,2026-09-21,2026-09-28,Competitive,"Leaderboard/tournament","Rewards","Social reminder","Tournament engine",Participation/Rank,FIRST-PARTY START + COMMUNITY END,https://blog.ggs-bf2.com/web/en.html,Participation TBD
Big Farm Homestead,Global/US-relevant,Dino Drama,Returning Event,2026-09-21,2026-10-05,Side/LiveOps,"Returning event loop",TBD,"Social tease","Reusable event engine",Entry/Completion,FIRST-PARTY START + COMMUNITY END,https://blog.ggs-bf2.com/web/en.html,Mechanic detail TBD
Gossip Harbor,US/Global,New Episode Every Friday,Narrative Cadence,Current,Ongoing,Core/Story,"New weekly episode","Indirect via energy/offers","Weekly return beat","Narrative engine",Story Reach/Return,STORE VERSION CURRENT,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294,Production cost TBD
Gossip Harbor,US/Global,Free Energy Gift Links,CRM/Resource Gift,Sep-2026,Ongoing,CRM,"Energy deep link","Free Energy","Owned/community reactivation","CRM reward engine",Claim/Return,OBSERVED CURRENT,https://www.pockettactics.com/gossip-harbor/free-energy,Claim cohort TBD
Gossip Harbor,US,The Turning Leaves,Collection/Event,Current,TBD,Meta/LiveOps,"Event collection/reward surface",Event rewards,TBD,"Collection wrapper",Entry/Completion,SOURCE CURRENT US STORE,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294,Exact dates/participation TBD
Gossip Harbor,US/Global,Nova Morel / Fungi & Aliens,Narrative Event,~2026-09-23,TBD,Side/Story,"Narrative exploration → points/decor","Event pack / offers","Weekly story support","Narrative-event engine",Entry/Completion,SOURCE CURRENT VERSION NOTE,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294,Exact start/end TBD
Office Cat,US,Prosperous Meow Apple Orchard,Farm/Harvest Event,Current,TBD,Side/LiveOps,"Harvest crops → rewards",TBD,TBD,"Harvest wrapper",Entry/Completion,SOURCE CURRENT US APP STORE EVENT,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010,Exact dates/participation TBD
Office Cat,US,Meowperation: Cattery!,Collection/Ranking,Current,TBD,Side/Competitive,"Collect seafood + Super Employee + ranking",TBD,Ranking,"Collection+Ranking wrapper",Participation/Rank,SOURCE CURRENT US APP STORE EVENT,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010,Exact dates TBD
Office Cat,US/Global,Cat Day,Limited Event,2026-07-15 visible note,TBD,Side/LiveOps,"One-week cat event",TBD,TBD,"Reusable event engine",Entry/Completion,SOURCE VERSION HISTORY,https://office-cat-tycoon-idle-games-ios.soft112.com/,Exact active dates TBD
Office Cat,US/Global,Payment Challenge,Monetization Challenge,2026-08-20 visible note,Ongoing/TBD,Monetization,"Challenge layer tied to City7 release","Payment challenge","N/A","Challenge/Offer engine",Entry/Conversion,SOURCE VERSION HISTORY,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010,Rules/pricing TBD
The Cozy Florist,US,Dragon Chant,Flower Collection/Nurture,Current,TBD,Core-adjacent LiveOps,"Collect materials → nurture flower → decorate shop",IAP/loot-box/ads context,TBD,"Collect+Nurture+Decor wrapper",Entry/Completion,SOURCE CURRENT US APP STORE EVENT,https://apps.apple.com/us/app/the-cozy-florist/id6754878717,Exact dates/participation TBD
The Cozy Florist,Global/US-relevant,Weekly Gift Code,Community CRM,Weekly,Ongoing,CRM,"Redeem weekly code","Free reward","Discord community","CRM claim engine",Claim/Return,SOURCE OFFICIAL DISCORD DISCOVERY,https://discord.com/servers/the-cozy-florist-1457571990062891163,Claim/reactivation TBD
The Cozy Florist,Global/US-relevant,Real Flower Bouquet Reward,Physical Reward,Current,Ongoing,Community/PR,"Virtual achievement / eligibility → physical flowers",Physical fulfillment","Community/shareability","Physical reward wrapper",Claim/Return/PR,SOURCE CURRENT STORE+DISCORD,https://apps.apple.com/us/app/the-cozy-florist/id6754878717,Fulfillment economics/geography TBD
My Perfect Hotel,Global/US-relevant,Barbie Dream Hotel,IP/Long-lived Wrapper,2026-04-23,2027-03-31,Meta/LiveOps,"Characters + stories + skins + themed hotel","Event Pass + leaderboard unlocks","IP/social promotion","IP wrapper",Entry/Completion/Return/Revenue,FIRST-PARTY EVENT WINDOW,https://say.games/blog/my-perfect-hotel-barbie-collaboration,US-specific participation TBD
My Perfect Hotel,Global/US-relevant,Barbie Event Pass,Pass,2026-04-23,2027-03-31,Monetization,"Progression track","Event Pass","IP wrapper","Pass engine",Pass Entry/Conversion,FIRST-PARTY / VERSION NOTES,https://say.games/blog/my-perfect-hotel-barbie-collaboration,Price/conversion TBD
My Perfect Hotel,Global/US-relevant,Barbie Leaderboard,Leaderboard,2026-04-23,2027-03-31,Competitive,"Ranking → character/skin unlock","Indirect event monetization","Competitive return","Leaderboard engine",Participation/Rank,FIRST-PARTY / VERSION NOTES,https://say.games/blog/my-perfect-hotel-barbie-collaboration,Participation TBD
My Perfect Hotel,Global/US-relevant,My Perfect Christmas Holiday,Seasonal Adventure,2025-12-17,TBD,Side/LiveOps,"Adventure + challenges","Festive skins + rewards","Seasonal return","Seasonal adventure engine",Entry/Completion,APP STORE VERSION NOTE,US App Store version history,Exact end/participation TBD
My Perfect Hotel,Global/US-relevant,Gala Night,IP Narrative/Special Event,2026-06-04,TBD,Side/LiveOps,"Barbie Dream Hotel story beat / special event","Character/skin/event rewards","IP promotion","IP narrative wrapper",Entry/Completion,APP STORE VERSION NOTE,US App Store version history,Exact duration/participation TBD
