priority,track,game,publisher_or_dev,launch_window,signal,why_watch,diandian_pull
P1,Direct Cozy/Hands-on,Good Pizza Great Pizza,TapBlaze,2014,EVERGREEN_BASELINE,"Evergreen hands-on sim showing that simple physical action + customers + story can sustain huge organic scale","Last 36m monthly downloads/revenue; paid vs organic; review growth; major updates"
P1,Direct Cozy/Hotel,My Perfect Hotel,SayGames,2022,HYBRID_BASELINE,"Ultra-light movement/service core converted into long hotel progression; clean benchmark for casual-first sim","Last 36m monthly downloads/revenue; paid vs organic; creative count; IAA/IAP proxy"
P0,Light Entry Long Meta,Capybara Go!,Habby,2024,HEAD_HABBY,"Best current example of cute/low-friction entry + deep equipment/skill/event meta; exact template family to study","Monthly downloads/revenue from launch; paid vs organic; ad creatives; country split; event/version nodes"
P0,Light Entry Long Meta,Go Go Muffin / 出发吧麦芬,XD,2024,HEAD_BREAKOUT,"Relaxed/cute idle presentation wrapping MMO-grade long progression and monetization; directly demonstrates 'light shell, heavy back end'","Monthly downloads/revenue by CN/HK/TW/global; paid vs organic; version/event nodes; RPD"
P0,Light Entry Long Meta,Legend of Mushroom / 菇勇者传说,Joy Net / 4399,2023-2024 Global,HEAD_BREAKOUT,"One-tap/idle mushroom fantasy with very long gear/pet/social/liveops layers; flagship mini-game-to-app export case","Monthly downloads/revenue by JP/KR/US/TW; paid vs organic; creatives; launch cohorts; liveops"
P0,Light Entry Long Meta,Heroes Don't Have Flash / 英雄没有闪,37 Interactive,2025,NEW_HEAD,"Idle loot/ARPG presented as easy auto-play but with deep skill+gear builds; pointpoint explicitly notes active users stayed stable after UA slowed","Monthly downloads/revenue; DAU if available; paid vs organic; ad volume; event/version nodes"
P0,Light Entry Long Meta,Wittle Defender / 胡闹地牢,Habby,2025,NEW_HABBY,"Habby's newer tower-defense/roguelite attempt; useful to see which shared Habby meta modules transfer after Capybara Go and Archero 2","Monthly downloads/revenue from test to global launch; creatives; paid vs organic; geo split"
P0,Light Entry Long Meta,Crazy Water World / 疯狂水世界,Eyougame / Yishijie,2025-2026,MINIGAME_HEAD,"Starts as simple collect-build-process-order management then transitions toward card/SLG; closest Chinese mini-game reference for casual-to-midcore layering","Mini-game ranking; app downloads/revenue if available; paid vs organic; time-to-SLG; ad creatives; version nodes"
P0,Light Entry Long Meta,Lands of Jail,Yishijie,2025,HEAD_HYBRID,"Prison management front-end successfully feeds long-term SLG; strong proof that sim can be the acquisition/FTUE shell for deeper meta","Monthly downloads/revenue from soft launch; paid vs organic; geo split; creatives; revenue persistence after spend reduction"
P0,Light Entry Long Meta,Kingshot,Century Games,2025,BIG_PUBLISHER_HEAD,"Century's fast-growing new hit; very light early fantasy wrapped around deep 4X monetization; useful ceiling reference, not a direct copy target","Monthly downloads/revenue; paid vs organic; geo split; UA scale; offer/event nodes"
P0,Light Entry Long Meta,Top Heroes,RiverGame,2024,BREAKOUT_HYBRID,"Casual exploration/base-building presentation into deeper hero/strategy systems; strong 2024 breakout for light-front/heavy-back structure","Monthly downloads/revenue; paid vs organic; country split; ad creatives; version nodes"
P0,Light Entry Long Meta,Tasty Travels: Merge Game,Century Games,2025,NEW_BIG_PUBLISHER,"Fast-growing merge title combining very simple merge core with long collection/story/event layers; big-publisher new-product signal","Monthly downloads/revenue; organic share; paid volume; event cadence; geo mix"
P0,Light Entry Long Meta,Flambé: Merge & Cook,Microfun,2025,BLACK_HORSE,"New merge+food title with strong monetization depth; useful for cozy narrative shell + mature long-meta economics","Monthly downloads/revenue; organic share; paid volume; RPD; event cadence; geo mix"
P1,Light Entry Long Meta,All in Hole,Homa,2024-2025,HYBRID_CASUAL_HEAD,"Satisfying one-finger core + unusually deep liveops and high RPD; mechanic structure is relevant to mowing/cleaning even if theme is not cozy","Monthly downloads/revenue; paid vs organic; event count; offer mix; ad creatives"
P1,Light Entry Long Meta,时光大爆炸,37 Interactive,2025,NEW_CN_SIM,"2025 China new-game top-grossing simulation; useful local case for easy entry + long economy/progression","Monthly downloads/revenue; paid vs organic; mini-game/app split if any; version nodes"
P1,Light Entry Long Meta,永远的蔚蓝星球,Songyue Joy,2025,NEW_CN_HYBRID,"Casual merge/barrage front with deeper long progression; useful as another Chinese light-core-to-long-meta pattern","Monthly downloads/revenue; paid vs organic; creatives; version/event nodes"
P1,Emerging Hybrid,Police Chief,Youzu/Yotta?,2026,RISING_BLACK_HORSE,"Second-wave prison-management hybrid showing fresh momentum in 2026; watch whether it can repeat Lands of Jail persistence","Monthly downloads/revenue from tests; paid vs organic; geo split; UA scale; retention proxy"
P2,Mechanic Baseline,Wool Sort / Wool-sort meta variants,Multiple,2025,MECHANIC_TREND,"Simple satisfying sort action plus knitting/collection metaprogression; useful analogy for mowing -> visual creation/collection","Top 3 titles monthly downloads/revenue; creative count; retention proxy"
P2,Trend Radar,Petit Planet,HoYoverse,2026 upcoming,BIG_PUBLISHER_NEW,"Major publisher entering cozy life sim; watch character depth, house/planet ownership, social, monetization conventions","No full Diandian pull until launch; track prereg/test/app IDs and launch data"
P2,Trend Radar,Floatopia,NetEase,upcoming,BIG_PUBLISHER_NEW,"NetEase life-sim bet with floating islands, farming/fishing/superpowers; watch how big studio differentiates from Animal Crossing-like sameness","Track prereg/test IDs; pull from first soft-launch month"
P2,Trend Radar,Animula Nook / 粒粒的小人国,Tencent / LilliLandia,upcoming,BIG_PUBLISHER_NEW,"Miniature-world cozy sim with >10M prereg reported; strong art/scale/social reference though mobile is not currently confirmed","Do not use Diandian as core until mobile/store listing exists; track test/launch externally"
P2,Trend Radar,Pokémon Pokopia,The Pokémon Company / Nintendo / Koei Tecmo,2026,BIG_IP_HEAD,"5M+ unit cozy sandbox validates restore-land/build/friend/collect loop at premium scale; not a mobile data pull but important design benchmark","No Diandian mobile pull; use sales/engagement references separately"
