product,market,platform,version,release_date,functional_summary,content_type,specificity,evidence_type,source
The Cozy Florist,US,iOS,1.0.50,2026-07-24,Gameplay-affecting function optimization,QOL,LOW,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
The Cozy Florist,US,iOS,1.0.49,2026-07-23,Gameplay-affecting function optimization,QOL,LOW,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
The Cozy Florist,US,iOS,1.0.48,2026-07-18,Bug fixes,FIX,LOW,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
The Cozy Florist,US,iOS,1.0.47,2026-07-15,Bug fixes,FIX,LOW,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
The Cozy Florist,US,iOS,1.0.46,2026-07-10,Bug fixes,FIX,LOW,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
The Cozy Florist,US,iOS,1.0.45,2026-07-03,Bug fixes,FIX,LOW,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
The Cozy Florist,US,iOS,1.0.44,2026-06-26,Bug fixes,FIX,LOW,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
The Cozy Florist,US,iOS,1.0.43,2026-06-22,Text/display optimization,QOL,LOW,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
The Cozy Florist,US,iOS,1.0.42,2026-06-13,Bug fixes,FIX,LOW,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
The Cozy Florist,US,iOS,1.0.39,2026-06-06,Text/display fix,FIX,LOW,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
The Cozy Florist,US,iOS,1.0.38,2026-05-27,Guild advertising error fix,FIX,HIGH,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
The Cozy Florist,US,iOS,1.0.37,2026-05-18,Advertising feature optimization,MONETIZATION+UA,MEDIUM,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
Office Cat,US,iOS,1.0.80,2026-08-31,Data-saving issue fix,FIX,HIGH,OBSERVED,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010
Office Cat,US,iOS,1.0.79,2026-08-21,Season ranking reset fix + City 7 + Payment Challenge,CONTENT+FIX+MONETIZATION,HIGH,OBSERVED,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010
Office Cat,US,iOS,1.0.78,2026-08-20,City 7 + Payment Challenge,CONTENT+MONETIZATION,HIGH,OBSERVED,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010
Office Cat,US,iOS,1.0.77,2026-07-15,Mine ranking reset fix + Cat Day event + daily event rankings,EVENT+SOCIAL+FIX,HIGH,OBSERVED,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010
Office Cat,US,iOS,1.0.76,2026-07-13,Cat Day event + daily event rankings,EVENT+SOCIAL,HIGH,OBSERVED,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010
Office Cat,US,iOS,1.0.75,2026-04-23,2nd Anniversary event + City 6,EVENT+CONTENT,HIGH,OBSERVED,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010
Office Cat,US,iOS,1.0.74,2026-03-17,Easter event + UI/bug fixes,EVENT+FIX,HIGH,OBSERVED,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010
Office Cat,US,iOS,1.0.73,2026-02-11,Valentine event + bug fixes,EVENT+FIX,HIGH,OBSERVED,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010
Office Cat,US,iOS,1.0.72,2026-02-05,Valentine event + bug fixes,EVENT+FIX,HIGH,OBSERVED,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010
